#https://www.kaggle.com/c/airbnb-recruiting-new-user-bookings
id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
jha93x042q,2010-01-11,20100111224015,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
7i49vnuav6,2010-01-11,20100111230808,,FEMALE,40.0,basic,0,en,seo,google,untracked,Web,Mac Desktop,Firefox,NDF
al8bcetz0g,2010-01-12,20100112131444,2010-01-15,FEMALE,26.0,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,FR
bjg0m5otl3,2010-01-12,20100112155420,,-unknown-,,basic,0,en,other,other,untracked,Web,Other/Unknown,-unknown-,NDF
hfrl5gle36,2010-01-12,20100112205949,2010-01-22,FEMALE,32.0,basic,0,en,other,craigslist,untracked,Web,Desktop (Other),Chrome,US
tp6x3md0n4,2010-01-13,20100113044650,2010-01-13,-unknown-,35.0,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,FR
hql77nu2lk,2010-01-13,20100113064333,2010-01-19,-unknown-,37.0,basic,0,en,direct,direct,untracked,Web,Android Tablet,-unknown-,US
cheova4spt,2010-01-14,20100114025257,2010-01-24,-unknown-,42.0,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,FR
pggg2sj27u,2010-01-14,20100114060757,,MALE,31.0,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
mo2v5h3nti,2010-01-14,20100114084926,,-unknown-,31.0,basic,0,en,seo,google,untracked,Web,Other/Unknown,-unknown-,NDF
qthj88nnc7,2010-01-14,20100114175209,,MALE,29.0,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
x9gnxoun57,2010-01-15,20100115055053,,MALE,59.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
ugy4obax11,2010-01-15,20100115082711,,-unknown-,49.0,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
7my0vrljxc,2010-01-15,20100115221929,2010-01-15,FEMALE,31.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
ul0b29nhr6,2010-01-15,20100115231651,,MALE,30.0,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
7yzz3iv0ji,2010-01-15,20100115234132,,-unknown-,,basic,0,en,sem-non-brand,other,omg,Web,Windows Desktop,Firefox,NDF
myunxar49t,2010-01-16,20100116154942,,FEMALE,35.0,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
jpne62dhz8,2010-01-16,20100116215943,,MALE,26.0,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Firefox,NDF
k15j7mbny0,2010-01-19,20100119013616,2010-01-21,FEMALE,30.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
2981o5kr7b,2010-01-21,20100121070939,,FEMALE,29.0,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
69xzq1jxkq,2010-01-21,20100121183725,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
g3z67e37mb,2010-12-01,20100123090523,2010-12-03,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,GB
g1q6caq452,2010-01-23,20100123201540,2010-01-27,FEMALE,44.0,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,IE,US
f6mzhb4wbc,2010-01-24,20100124002335,2010-02-25,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,ES
ngai8kt2yi,2010-01-24,20100124020049,2010-01-24,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
2cji4lpjr3,2010-01-24,20100124083507,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,IE,NDF
byozd991xf,2010-01-24,20100124232938,2010-01-25,-unknown-,34.0,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
22r42sgc0a,2010-01-25,20100125184230,,-unknown-,30.0,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
rcx09dn2je,2010-01-25,20100125203143,2010-01-26,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
ae59m0iqsx,2010-01-25,20100125232246,2010-01-26,-unknown-,33.0,basic,0,en,other,craigslist,untracked,Web,iPad,Mobile Safari,US
jtm5s5dhwx,2010-01-26,20100126002245,,MALE,28.0,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Chrome,NDF
efabqzuxmf,2010-01-26,20100126192045,2010-01-27,-unknown-,44.0,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,US
emg8edpcpm,2010-01-26,20100126233019,2010-07-30,-unknown-,19.0,basic,0,en,direct,direct,omg,Web,iPad,Mobile Safari,US
bgel0c0qic,2010-01-27,20100127031620,,FEMALE,53.0,basic,0,en,other,craigslist,linked,Web,Android Tablet,Chrome,NDF
ehcdcpkn8y,2010-01-27,20100127083836,2010-01-28,-unknown-,,basic,0,en,direct,direct,untracked,Web,Android Tablet,Chrome,CA
fp6ndcm5ak,2010-01-27,20100127232016,2010-01-27,MALE,52.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
rwa710uoxj,2010-01-28,20100128100127,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
p968flw686,2010-01-29,20100129032157,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF
b2iuaury7k,2010-01-29,20100129093908,,MALE,39.0,basic,0,en,other,craigslist,untracked,Web,iPhone,Mobile Safari,NDF
5dp8dxiayg,2010-01-29,20100129173619,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
ranh94tmin,2010-01-29,20100129182105,2010-01-29,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,CA
0xvbruzuzz,2010-01-30,20100130045749,2010-01-31,MALE,35.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
wtwg1l6pir,2010-01-30,20100130161608,,FEMALE,40.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
lfwwfmbi0g,2010-01-31,20100131003213,,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF
mz47bohqc8,2010-02-01,20100201021621,2010-02-02,-unknown-,,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
nvti2htxna,2010-02-01,20100201061326,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
o47imoy58k,2010-02-01,20100201224759,,-unknown-,,basic,0,en,seo,google,omg,Web,Mac Desktop,Safari,NDF
b9gu8uoxxw,2010-02-02,20100202050231,2010-02-02,-unknown-,,basic,0,en,other,other,,Web,Other/Unknown,-unknown-,US
svhon5c3wz,2010-02-02,20100202085002,,FEMALE,31.0,basic,0,en,seo,google,linked,Web,Mac Desktop,Safari,NDF
6yjtxd174z,2010-02-02,20100202170603,,-unknown-,29.0,basic,0,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
61rgez44q4,2010-02-02,20100202180421,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
h53mz152m4,2010-02-02,20100202223117,2010-02-09,FEMALE,57.0,basic,0,en,other,craigslist,omg,Web,Windows Desktop,Firefox,FR
b9pzliufcj,2010-02-03,20100203000944,2010-02-04,FEMALE,30.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
h2gn4f9oqa,2010-02-03,20100203225854,2010-08-12,-unknown-,49.0,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,US
mjkyx3a64l,2010-02-04,20100204005644,,FEMALE,37.0,basic,0,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
jf5oxeb233,2010-02-04,20100204180032,2010-03-20,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,-unknown-,GB
3bm7fn465l,2010-02-06,20100206012446,,-unknown-,26.0,basic,0,en,other,craigslist,tracked-other,Web,iPhone,Mobile Safari,NDF
jzw5p68a5u,2010-02-06,20100206070403,2010-02-06,-unknown-,,basic,3,en,other,other,,Web,Other/Unknown,-unknown-,other
rxdkzkowt2,2010-02-06,20100206072233,2010-02-10,FEMALE,36.0,basic,2,en,other,craigslist,untracked,Web,iPhone,-unknown-,US
odtqrxp6d1,2010-02-06,20100206155410,,-unknown-,,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
yzjoqp3401,2010-02-06,20100206163608,,-unknown-,,basic,2,en,other,craigslist,linked,Web,Mac Desktop,Chrome,NDF
prqnudhgdx,2010-02-07,20100207014229,2010-02-07,FEMALE,32.0,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Chrome,US
6qx6xl5eho,2010-02-07,20100207015207,2010-06-01,MALE,33.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
563m2oiat7,2010-02-08,20100208191612,2010-02-11,FEMALE,46.0,facebook,2,en,other,craigslist,untracked,Web,Windows Desktop,IE,US
wqj8o7gv3y,2010-02-08,20100208214250,2010-02-26,FEMALE,40.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Firefox,IT
57569t1rgg,2010-02-09,20100209014007,,MALE,25.0,facebook,2,en,other,craigslist,linked,Web,Mac Desktop,Chrome,NDF
a6aoihcf3r,2010-02-09,20100209062147,,MALE,25.0,facebook,2,en,other,other,omg,Web,Mac Desktop,Chrome,NDF
1o91tbwhmt,2010-02-09,20100209064317,2010-02-20,-unknown-,54.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,FR
oc138x4t2c,2010-02-09,20100209070009,2010-02-10,-unknown-,32.0,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
u5otukcj1c,2010-02-10,20100210024029,2010-03-19,-unknown-,,basic,3,en,other,craigslist,untracked,Web,Mac Desktop,Safari,FR
1qglty8tmd,2010-02-10,20100210045352,2010-08-25,-unknown-,28.0,basic,2,en,seo,google,linked,Web,Windows Desktop,Chrome,US
so9lxma3fv,2010-02-10,20100210050927,2010-02-12,FEMALE,57.0,basic,2,en,other,craigslist,tracked-other,Web,Mac Desktop,Firefox,US
6u9s9pbr5r,2010-02-10,20100210082803,2010-02-13,FEMALE,47.0,basic,3,en,other,craigslist,linked,Web,Windows Desktop,IE,US
4ktx9s53w5,2010-02-10,20100210231137,2010-07-16,MALE,34.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
ieu21joskb,2010-02-11,20100211030330,2010-02-13,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
82y7pq62oj,2010-02-11,20100211100737,,-unknown-,35.0,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
25pgufjup8,2010-02-11,20100211121538,,-unknown-,32.0,basic,2,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,NDF
oqnzmpmt60,2010-02-12,20100212030946,,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
vk9oo8i6ik,2010-02-12,20100212061754,,-unknown-,34.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
qj9ttjt9ch,2010-02-12,20100212205013,2010-02-21,OTHER,40.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,ES
hjzm74mnt6,2010-02-13,20100213165415,,-unknown-,,basic,3,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,NDF
uzlk5vzgh4,2010-02-13,20100213194447,2010-02-13,-unknown-,,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
dgatsm5ocq,2010-02-13,20100213235215,2010-03-22,FEMALE,69.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
nvsx44fs1w,2010-02-14,20100214021823,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
2c543qkuic,2010-02-15,20100215005131,2010-02-15,FEMALE,30.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,FR
y8r36zf535,2010-02-15,20100215025628,,FEMALE,42.0,facebook,2,en,direct,direct,linked,Web,Windows Desktop,IE,NDF
9pdsmrcz7g,2010-02-15,20100215072653,,FEMALE,63.0,basic,2,en,other,craigslist,untracked,Web,iPad,-unknown-,NDF
sdzl0mr9us,2010-02-15,20100215191001,2010-02-16,-unknown-,,facebook,2,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,CA
m1p6kkn8l1,2010-02-15,20100215224501,2010-12-12,-unknown-,33.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
z1smu76iek,2010-02-16,20100216024630,2010-02-16,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
mdhde4y8ak,2010-02-16,20100216070141,2010-02-16,-unknown-,,basic,3,en,direct,direct,tracked-other,Web,iPad,Mobile Safari,US
umemmlvxmg,2010-02-16,20100216101113,,MALE,44.0,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
d2t14mx6bc,2010-02-16,20100216114511,,-unknown-,,basic,0,en,sem-non-brand,other,,Web,Other/Unknown,-unknown-,NDF
xhnjctsnee,2010-02-16,20100216172532,,FEMALE,26.0,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
vlmrt8nr8q,2010-02-16,20100216221740,2010-02-21,FEMALE,29.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,FR
0sjhzy6z9q,2010-02-17,20100217012630,2010-02-17,FEMALE,43.0,basic,2,en,other,craigslist,linked,Web,Windows Desktop,Chrome,US
yvgxw5nrpd,2010-02-17,20100217044719,,-unknown-,30.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
swrvyedlsp,2010-05-30,20100218004109,2010-03-17,FEMALE,,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
tt4tf7arx9,2010-02-18,20100218044803,2010-02-18,-unknown-,36.0,basic,3,en,direct,direct,linked,Web,Mac Desktop,Safari,US
w1e4j1wnvt,2010-02-18,20100218202504,,-unknown-,26.0,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
w4hggrfyox,2010-02-19,20100219031018,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
kbix4dw5bg,2010-02-19,20100219042307,2010-02-21,FEMALE,33.0,facebook,0,en,other,craigslist,untracked,Web,Windows Desktop,Firefox,US
l7p5m5g8oo,2010-02-19,20100219122026,,FEMALE,42.0,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
hsa9brefci,2010-02-19,20100219152309,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Windows Desktop,Firefox,NDF
apdl57gb6g,2010-02-20,20100220002936,,FEMALE,36.0,facebook,2,en,other,craigslist,omg,Web,iPad,Mobile Safari,NDF
y7yglrqj4g,2010-02-20,20100220015828,2010-02-28,MALE,39.0,basic,2,en,seo,google,omg,Web,Mac Desktop,Chrome,US
ofwq9iunbv,2010-02-20,20100220032434,2011-02-11,-unknown-,,basic,2,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
kzbgs46ka1,2010-02-21,20100221171628,2010-06-28,-unknown-,47.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
jqyog5updf,2010-02-21,20100221184205,2010-02-22,FEMALE,52.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Firefox,IT
fxtlskaz1n,2010-02-21,20100221195355,,-unknown-,59.0,basic,2,en,sem-non-brand,other,,Web,Other/Unknown,-unknown-,NDF
f1q44ej2ve,2010-02-22,20100222003812,,-unknown-,53.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
woz3bp8egc,2010-02-22,20100222083900,2010-02-22,-unknown-,,basic,0,en,seo,google,omg,Web,Mac Desktop,Firefox,US
2bvnlou71p,2010-02-22,20100222101428,2010-03-04,-unknown-,25.0,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
ekjvs6zgq2,2010-02-22,20100222170236,,-unknown-,,basic,2,en,other,craigslist,omg,Web,Windows Desktop,Chrome,NDF
p2j15lz8ge,2010-02-22,20100222220333,2010-02-23,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,US
lz2dlc2ap4,2010-02-23,20100223005103,,MALE,55.0,basic,2,en,direct,direct,untracked,Web,Android Phone,Chrome Mobile,NDF
lts9qawqo2,2010-02-23,20100223022052,,-unknown-,,basic,2,en,direct,direct,omg,Web,Windows Desktop,IE,NDF
e5ox4vixyl,2010-02-23,20100223030730,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
vol34s7upr,2010-02-23,20100223234746,2010-02-25,MALE,36.0,facebook,3,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,CA
xx5xwvpmyj,2010-02-24,20100224005533,2010-02-24,-unknown-,,basic,3,en,direct,direct,linked,Web,Mac Desktop,Firefox,GB
xsdy92xq16,2010-02-24,20100224015125,,-unknown-,35.0,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
mc6ihnidpc,2010-02-24,20100224032305,2010-02-25,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
qmg77g7lge,2010-02-24,20100224041433,2010-03-08,-unknown-,65.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
y2wks1ljcu,2010-02-24,20100224153808,2010-02-24,FEMALE,33.0,basic,3,en,seo,google,linked,Web,Mac Desktop,Safari,GB
mcdh2s9owp,2010-02-24,20100224165748,2010-02-24,MALE,38.0,facebook,3,en,sem-non-brand,other,untracked,Web,Mac Desktop,Safari,US
ese54wmkcb,2010-02-24,20100224173448,2010-03-27,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
nf307k7ewi,2010-02-24,20100224204915,2010-02-28,-unknown-,41.0,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,FR
29ijaxrl2y,2010-02-25,20100225042921,,FEMALE,29.0,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
jad3mbqepi,2010-02-25,20100225060342,2010-02-26,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
hl3t7qzrdu,2010-02-25,20100225092657,2010-02-26,-unknown-,32.0,basic,3,en,direct,direct,untracked,Web,iPhone,Mobile Safari,US
4lb9khiwg2,2010-02-25,20100225190715,,-unknown-,,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
fyh4atoj1y,2010-02-26,20100226192639,2010-02-27,-unknown-,28.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
o9sog26g9x,2010-02-26,20100226193936,2010-03-12,FEMALE,46.0,basic,0,en,content,google,linked,Web,Mac Desktop,Firefox,US
lzjp8xkt44,2010-02-26,20100226230412,,-unknown-,35.0,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
ask4eceyyh,2010-02-27,20100227013342,,FEMALE,35.0,facebook,2,en,other,craigslist,linked,Web,Mac Desktop,Firefox,NDF
md46o2l0pe,2010-02-27,20100227015032,,-unknown-,34.0,basic,3,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
dstzfld8qk,2010-02-27,20100227023948,2010-02-28,FEMALE,63.0,facebook,2,en,sem-non-brand,other,linked,Web,Windows Desktop,Firefox,US
2opewo93m2,2010-02-27,20100227080838,,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
jcnhbybq4h,2010-02-27,20100227221046,2010-03-01,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,FR
c0unmqaa5y,2010-02-27,20100227232445,2010-03-01,-unknown-,,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
1k5xq0yn5k,2010-02-28,20100228003949,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
027hmmfefk,2010-02-28,20100228060014,,MALE,58.0,facebook,2,en,direct,direct,linked,Web,Windows Desktop,Firefox,NDF
7a8k3t3zd7,2010-02-28,20100228061523,2010-03-02,-unknown-,57.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,US
3hvsja1oo5,2010-02-28,20100228123713,,-unknown-,61.0,facebook,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
6avz9lrvzq,2010-02-28,20100228174716,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPhone,-unknown-,NDF
sgcfiqz6o8,2010-02-28,20100228224352,,FEMALE,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
tlvnjwjdam,2010-02-28,20100228235511,,-unknown-,,facebook,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
mkzfek178i,2010-03-01,20100301050024,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
5ml3i1o90h,2010-03-01,20100301063140,2010-03-03,FEMALE,35.0,basic,2,en,other,craigslist,omg,Web,Mac Desktop,Chrome,US
1a9khjwzuh,2010-03-01,20100301064134,2010-03-02,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
f5accvka0y,2010-03-01,20100301201700,2010-03-03,MALE,31.0,facebook,0,en,direct,direct,,Web,Other/Unknown,-unknown-,IT
mswwy65q4o,2010-03-01,20100301213409,,-unknown-,36.0,basic,2,en,other,craigslist,omg,Web,Windows Desktop,Firefox,NDF
yyikx9ztzu,2010-03-02,20100302040703,2010-03-02,-unknown-,,basic,3,en,sem-non-brand,other,untracked,Web,Mac Desktop,Safari,US
rzh9fet0aj,2010-03-02,20100302044456,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,NDF
wgyw2nwafd,2010-03-02,20100302051209,,-unknown-,,basic,3,en,content,google,,Web,Other/Unknown,-unknown-,NDF
to2hnhh1bc,2010-03-02,20100302221355,2010-03-05,-unknown-,18.0,basic,2,en,direct,direct,untracked,Web,iPad,Mobile Safari,US
k9zs5iak6w,2010-03-03,20100303020604,2010-03-03,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,US
fdznpbty8y,2010-03-03,20100303075528,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,NDF
ju7u7y9bo1,2010-03-03,20100303095409,2010-03-03,MALE,35.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,US
zpfucx0ipa,2010-03-03,20100303230351,2010-03-06,MALE,36.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
skrth14l98,2010-03-04,20100304210151,,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
23czs745fi,2010-03-04,20100304212200,2010-03-05,FEMALE,37.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
ylb45ot5by,2010-03-05,20100305020220,,MALE,35.0,basic,3,en,sem-non-brand,other,omg,Web,Mac Desktop,Safari,NDF
r0kg0xtwpf,2010-03-05,20100305032323,,-unknown-,,basic,0,en,sem-non-brand,google,linked,Web,iPad,Mobile Safari,NDF
3rcltoc165,2010-03-05,20100305095130,2010-03-08,-unknown-,42.0,basic,2,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
3tyrowqzr9,2010-03-05,20100305142110,2010-04-18,-unknown-,,basic,2,en,seo,google,linked,Web,Mac Desktop,Firefox,ES
1plg7bk21b,2010-03-06,20100306004220,2010-03-15,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
z2m5ub0h0h,2010-03-06,20100306013801,,FEMALE,33.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,NDF
b9gk1av7rt,2010-03-06,20100306035725,2010-03-07,-unknown-,,basic,0,en,content,google,,Web,Other/Unknown,-unknown-,US
1r5wy9nxcs,2010-03-06,20100306140655,2010-03-10,-unknown-,,basic,0,fr,other,craigslist,untracked,Web,Mac Desktop,Safari,US
