@relation 'Random_2_dimensions_SeparationFunction_f(x) =  + 1.0*x1^2 + 2.0*x2^2'

@attribute x1 numeric
@attribute x2 numeric
@attribute Class {0,1}

@data
-0.57941,0.063979,0
-0.800947,0.334709,1
0.25517,0.242535,0
0.452647,-0.08416,0
-0.473795,0.191412,0
-0.345313,-0.142339,0
0.380698,-0.167638,0
0.973493,0.024135,1
0.897221,0.436001,1
0.351947,0.627136,1
-0.870685,0.279156,1
-0.540013,-0.362965,0
-0.485787,-0.693782,1
0.361166,0.844437,1
-0.353698,-0.948728,1
0.849765,0.333971,1
-0.74027,0.814386,1
-0.047178,0.739041,1
0.5492,-0.19546,0
-0.683004,-0.051894,0
0.739955,0.018857,0
-0.760003,0.736993,1
-0.924157,-0.681376,1
-0.860952,-0.89648,1
-0.534963,0.137465,0
-0.299163,-0.247511,0
0.860848,0.235539,1
-0.298473,-0.686128,1
0.605493,-0.295333,0
-0.457924,-0.175716,0
-0.572465,-0.967207,1
-0.086797,0.761595,1
-0.472857,-0.975522,1
-0.427645,0.956031,1
0.172429,-0.922673,1
0.704712,-0.599022,1
-0.893916,-0.340378,1
-0.751538,0.545174,1
0.839579,0.991836,1
0.926068,-0.685147,1
-0.086776,0.705057,1
0.708458,-0.182264,0
0.185308,-0.933035,1
0.635158,0.623414,1
0.906299,0.587051,1
-0.880889,0.610656,1
0.388762,0.877839,1
-0.514634,0.174086,0
-0.671184,-0.522761,1
0.756691,-0.097127,0
0.130504,0.006252,0
-0.45823,-0.942541,1
0.470034,0.184215,0
0.763957,0.965409,1
0.708347,0.440848,1
0.260952,-0.973532,1
0.347147,0.236588,0
-0.03015,0.972202,1
-0.159101,-0.250717,0
-0.961203,0.618875,1
0.053132,0.377449,0
0.224245,-0.817697,1
-0.459687,-0.863931,1
-0.976162,0.041191,1
-0.956037,0.935946,1
0.360392,-0.192108,0
-0.029448,-0.639078,1
0.731857,-0.133229,0
-0.990283,0.095761,1
0.409689,0.885662,1
0.045409,0.019183,0
-0.764288,-0.656793,1
0.383722,0.23626,0
-0.497218,0.396686,0
-0.285898,0.21696,0
-0.975795,0.530175,1
-0.609416,-0.299045,0
0.412322,-0.672487,1
0.360234,0.340045,0
0.026435,0.305569,0
0.674321,0.795676,1
-0.41691,-0.383192,0
-0.815337,-0.773457,1
0.440925,0.445385,0
0.285312,0.505216,0
-0.24865,0.660506,1
0.281233,0.22395,0
0.200273,0.151517,0
-0.613984,-0.043185,0
0.826995,0.788582,1
0.454786,0.44298,0
-0.987567,0.610004,1
-0.104148,-0.023445,0
-0.51637,0.376885,0
-0.442186,0.279178,0
-0.660367,0.498468,1
-0.234596,0.132274,0
-0.605134,-0.096672,0
0.942716,-0.701682,1
-0.112679,0.048052,0
-0.775658,-0.737302,1
-0.06667,0.062389,0
0.546849,-0.13151,0
-0.691797,-0.214139,0
-0.230428,0.096334,0
-0.282402,-0.160648,0
0.324908,-0.025444,0
0.126627,-0.443435,0
0.429668,-0.285949,0
0.104996,-0.320531,0
-0.679311,-0.515251,1
0.984413,0.700356,1
-0.277963,0.385234,0
0.774824,0.524164,1
-0.751013,0.728225,1
-0.70656,-0.466498,1
0.38025,-0.887402,1
0.970906,-0.839829,1
0.995676,0.458899,1
-0.807974,-0.513024,1
0.541991,-0.30799,0
0.277597,0.745653,1
0.060528,-0.456873,0
-0.976905,0.053147,1
-0.695017,-0.171717,0
0.599134,0.314534,0
-0.462004,0.164355,0
0.223128,0.048069,0
-0.116475,0.921764,1
-0.996183,0.948954,1
-0.338087,0.048205,0
0.032087,-0.234308,0
-0.274476,0.422368,0
0.943926,0.488813,1
0.306984,-0.718555,1
-0.918151,-0.607169,1
0.698678,-0.036581,0
-0.406079,0.825763,1
-0.798681,0.714965,1
-0.665031,-0.193416,0
0.21103,-0.362019,0
0.272423,0.469487,0
-0.941476,0.982608,1
-0.750366,-0.815142,1
0.270613,-0.058186,0
0.422411,-0.209637,0
-0.706591,0.862394,1
0.459881,-0.218424,0
-0.601767,-0.64048,1
0.688721,0.540096,1
0.485373,0.206722,0
-0.868109,-0.248145,1
0.253543,-0.831894,1
0.683121,-0.857485,1
0.765998,0.750868,1
-0.882581,0.621493,1
-0.292299,-0.053,0
-0.539751,0.608133,1
-0.447902,-0.050877,0
-0.080493,-0.528594,0
0.139099,-0.211718,0
0.653475,0.023099,0
-0.079221,0.010089,0
-0.421665,0.398604,0
0.11519,0.452961,0
0.24775,-0.977646,1
0.493193,0.025731,0
0.049947,-0.29146,0
-0.357642,-0.108338,0
0.493109,0.113691,0
-0.01635,0.788189,1
-0.812208,0.73627,1
0.560704,0.346457,0
-0.714561,0.449418,1
0.678204,-0.778011,1
0.595002,0.15651,0
0.834948,-0.392394,1
-0.624977,0.575197,1
0.078887,0.271948,0
0.886457,-0.615863,1
0.905513,0.651761,1
0.191891,-0.992394,1
0.127655,0.723326,1
0.399696,-0.83328,1
0.763851,-0.611787,1
-0.422934,-0.007987,0
-0.075884,-0.069203,0
-0.106245,-0.029385,0
0.91608,0.739722,1
0.351082,0.932791,1
0.274969,-0.737785,1
0.898977,-0.215489,1
0.012515,-0.635974,1
-0.477971,-0.072223,0
0.888829,-0.714103,1
-0.487582,-0.814021,1
0.344583,-0.237462,0
0.464523,0.589042,1
0.416929,-0.559766,1
-0.567705,0.636696,1
0.237215,-0.862319,1
0.953654,0.194543,1
0.918082,-0.145958,1
-0.631998,0.54324,1
-0.504685,-0.333419,0
-0.090421,-0.951621,1
0.052667,-0.736183,1
-0.57147,0.678446,1
-0.066715,-0.723889,1
-0.726807,-0.829552,1
-0.970739,0.794122,1
-0.138753,-0.972379,1
0.774028,0.730861,1
0.312629,-0.257508,0
0.869383,-0.631671,1
-0.495582,-0.79433,1
-0.367877,-0.029574,0
-0.621455,0.119051,0
0.420385,-0.957608,1
0.714005,0.730466,1
-0.67044,0.002005,0
0.29754,0.257052,0
0.337533,-0.222518,0
0.738639,-0.37158,1
-0.031129,-0.924265,1
0.178996,0.834159,1
-0.522253,0.589324,1
0.563995,0.743123,1
0.941679,-0.035675,1
-0.933482,0.828167,1
0.334222,0.476199,0
-0.988182,0.139639,1
-0.650055,-0.637318,1
0.997831,-0.675637,1
0.030897,-0.763984,1
-0.643667,-0.510498,1
-0.146208,-0.690947,1
0.611834,-0.967187,1
-0.164024,-0.014035,0
-0.734042,-0.005703,0
-0.716631,0.08792,0
0.705453,0.624607,1
-0.472492,0.049142,0
-0.777795,-0.642878,1
-0.713695,0.179322,0
0.053715,-0.900802,1
-0.803136,0.791034,1
0.208664,-0.154254,0
-0.582217,-0.682361,1
-0.726092,-0.782292,1
-0.883806,-0.842854,1
-0.81734,0.524569,1
-0.087582,-0.465635,0
-0.275642,0.440023,0
0.819454,0.283476,1
-0.455402,-0.676987,1
-0.581338,-0.869724,1
0.729551,0.862563,1
-0.392049,-0.876021,1
0.654456,-0.036659,0
0.472038,-0.129107,0
0.869892,0.172141,1
0.437556,-0.354305,0
0.027031,0.404708,0
-0.346247,0.450677,0
0.188689,-0.987845,1
0.770208,0.516548,1
0.328581,-0.835812,1
0.10716,-0.909985,1
0.107846,-0.824482,1
0.415999,-0.965676,1
-0.790563,0.517459,1
0.671655,-0.596267,1
-0.83867,0.547743,1
0.542417,0.095075,0
0.874264,0.979612,1
0.740335,-0.049012,0
-0.169879,-0.15018,0
0.018377,-0.949937,1
-0.424837,-0.317882,0
0.549003,0.660593,1
0.510241,0.061815,0
0.284383,-0.738708,1
-0.940209,-0.054336,1
-0.454888,-0.183041,0
0.163533,0.17416,0
-0.158615,-0.48022,0
0.757529,0.485264,1
0.018668,0.387897,0
0.995513,0.380179,1
-0.461267,0.685263,1
0.461237,0.011778,0
0.05925,-0.166018,0
-0.363057,-0.462983,0
0.491968,0.347037,0
-0.487239,0.033018,0
0.160575,0.730546,1
0.281714,-0.448884,0
-0.878699,0.984617,1
-0.280957,-0.655518,1
0.614887,-0.640272,1
0.547475,-0.773552,1
-0.874235,-0.708835,1
0.141486,-0.424654,0
-0.8462,-0.700469,1
-0.84855,0.949019,1
0.237798,-0.997574,1
0.897237,-0.899757,1
-0.382788,-0.739417,1
0.142955,-0.33168,0
0.420105,0.973435,1
0.241876,0.647997,1
-0.895352,0.226801,1
-0.06413,0.686762,1
0.55295,0.36572,0
-0.408184,0.97333,1
-0.23439,-0.147555,0
-0.359493,0.812421,1
-0.483988,0.835787,1
0.746701,0.672753,1
0.12287,0.856422,1
-0.673185,0.723685,1
0.431179,-0.083014,0
-0.101704,0.987556,1
0.720647,0.523682,1
-0.448704,0.771106,1
0.012804,0.887337,1
-0.549553,-0.849198,1
0.157032,0.19434,0
-0.943363,-0.59944,1
-0.116595,0.746856,1
0.850514,0.963828,1
-0.170396,0.522585,0
-0.855944,0.310392,1
0.090161,-0.415566,0
-0.389748,0.311837,0
-0.76667,0.866002,1
0.566482,0.974446,1
0.977111,-0.34496,1
0.125369,-0.480456,0
0.788471,0.303847,1
-0.624534,-0.477463,1
-0.614828,0.980919,1
0.006675,0.891938,1
-0.105275,0.926562,1
-0.303162,0.972132,1
-0.069857,0.392775,0
-0.61884,-0.613217,1
0.513325,0.366601,0
0.400036,0.814161,1
0.418966,0.456667,0
0.098603,0.41069,0
-0.413674,-0.440493,0
0.559277,-0.567642,1
-0.143937,-0.500665,0
0.609414,0.145612,0
0.750101,0.094635,0
-0.84897,-0.914274,1
0.396433,0.976728,1
0.438275,-0.703071,1
-0.544326,0.868991,1
-0.922025,0.565922,1
0.997332,0.734746,1
-0.760792,0.779779,1
0.096716,0.258393,0
-0.227137,-0.00565,0
0.794956,0.44384,1
0.776579,-0.697626,1
-0.176059,0.77556,1
0.959176,0.166444,1
0.179821,0.883557,1
0.598789,0.768901,1
0.943411,-0.987832,1
0.33515,0.381824,0
0.504706,-0.661297,1
-0.319877,-0.381272,0
-0.824993,-0.955332,1
0.281209,0.18915,0
0.676037,0.674983,1
-0.768375,-0.325322,1
-0.392263,-0.306467,0
-0.530672,0.780854,1
0.653335,-0.140875,0
-0.98583,-0.085166,1
-0.214048,0.824758,1
-0.251585,-0.843996,1
-0.818033,-0.673112,1
0.945428,0.793243,1
0.366421,-0.006771,0
-0.44143,0.107375,0
0.678176,0.04781,0
-0.441346,0.898367,1
-0.915611,-0.671709,1
0.155147,0.27152,0
-0.654422,-0.538595,1
0.240415,0.152587,0
-0.518604,-0.005154,0
0.759509,0.651586,1
-0.804849,0.637972,1
-0.955515,0.906656,1
-0.365641,-0.995325,1
0.448533,-0.107835,0
-0.141281,-0.363428,0
0.015544,-0.283744,0
-0.306457,0.281904,0
0.633698,0.78658,1
-0.734161,-0.58467,1
0.146982,-0.111071,0
-0.548154,0.806032,1
0.236479,0.702047,1
0.709,0.576339,1
0.321922,-0.359659,0
0.390715,-0.600019,1
-0.03882,-0.328291,0
0.008622,-0.330875,0
0.635198,-0.177765,0
0.211025,-0.146991,0
0.609845,0.297342,0
-0.323138,-0.407908,0
-0.333681,0.160245,0
0.271435,0.700995,1
0.26797,-0.863121,1
0.370865,-0.062833,0
0.09748,-0.837601,1
0.19779,0.883896,1
-0.970981,-0.072869,1
-0.581732,0.858275,1
0.506891,0.653446,1
-0.206622,-0.432342,0
-0.921762,-0.182207,1
-0.461481,-0.775781,1
-0.50296,-0.339276,0
-0.695032,-0.954084,1
0.179993,0.399574,0
0.048693,-0.461905,0
0.550109,0.804065,1
-0.106748,-0.018054,0
0.656044,-0.432702,1
0.704838,0.809328,1
0.946348,-0.429412,1
0.747948,0.834469,1
-0.365494,-0.412148,0
-0.246966,0.416593,0
-0.040244,0.23503,0
-0.997118,-0.456496,1
-0.169688,-0.95771,1
-0.763364,0.763693,1
0.374147,-0.081062,0
0.925978,-0.067808,1
-0.152168,-0.003316,0
-0.396106,0.834058,1
-0.713919,-0.058168,0
0.269787,-0.720998,1
0.094116,0.474122,0
0.232677,-0.143357,0
-0.922648,-0.704363,1
0.083893,-0.857191,1
-0.19245,0.913897,1
-0.649712,0.563987,1
-0.512424,0.405752,0
0.50989,0.603603,1
-0.127104,0.25397,0
-0.586401,0.355615,0
-0.247399,-0.057501,0
-0.254408,0.682802,1
0.762367,-0.331541,1
-0.230329,-0.802736,1
-0.634929,-0.130466,0
0.556024,0.091884,0
0.444626,0.654669,1
0.17931,-0.864244,1
-0.014862,0.243398,0
0.742266,-0.991541,1
-0.538252,-0.34345,0
0.366935,-0.951955,1
0.299963,-0.929178,1
-0.705786,-0.086503,0
0.432847,-0.295631,0
-0.41937,0.160662,0
0.106671,0.766518,1
0.659901,-0.772676,1
0.905235,0.564844,1
0.03739,0.107099,0
-0.82884,-0.715357,1
0.481697,0.635706,1
-0.092912,-0.240414,0
-0.133037,0.439516,0
0.580254,-0.068324,0
-0.917108,-0.972977,1
-0.241147,0.634518,1
-0.681569,0.66157,1
-0.194939,0.38993,0
-0.088217,0.528824,0
0.072311,-0.005912,0
-0.702659,0.191005,0
-0.769489,0.610887,1
-0.556513,-0.916437,1
0.434282,0.132109,0
0.088434,-0.975921,1
0.086789,0.718338,1
0.696001,-0.86535,1
0.157017,0.482373,0
-0.475209,-0.427715,0
0.496184,0.07724,0
0.797893,-0.312885,1
-0.194799,0.874915,1
-0.634041,0.662962,1
0.256147,0.71184,1
0.171688,-0.330253,0
-0.404926,-0.985128,1
-0.5529,-0.209606,0
0.562837,0.509568,1
0.958233,-0.150092,1
0.935179,-0.828711,1
0.214722,-0.629679,1
0.552541,0.04498,0
0.290768,0.127784,0
-0.785757,-0.535574,1
-0.874713,-0.324247,1
-0.559105,0.197219,0
0.707527,0.166365,0
0.048904,0.205508,0
-0.731997,-0.929091,1
-0.921316,0.214838,1
-0.885763,-0.707209,1
-0.274994,-0.039199,0
0.816674,0.519496,1
0.182863,-0.699201,1
0.94431,0.544802,1
0.222644,0.919268,1
0.356195,-0.010227,0
-0.478724,0.708199,1
-0.825894,0.360833,1
-0.698587,0.070836,0
0.993348,-0.294521,1
-0.331388,-0.625096,1
0.632761,0.260941,0
0.186848,-0.427206,0
0.781669,0.438408,1
-0.729374,-0.754852,1
-0.852878,0.655848,1
0.37448,0.819161,1
-0.669533,0.430687,1
0.550394,0.13575,0
-0.250929,-0.078578,0
-0.679878,0.142651,0
-0.368196,0.659953,1
-0.375039,-0.409841,0
-0.917401,-0.618251,1
0.913464,-0.355079,1
-0.288221,0.371981,0
0.466103,0.010842,0
-0.257473,0.094325,0
0.017757,-0.272157,0
-0.451124,-0.198546,0
-0.391991,0.078913,0
-0.143044,-0.257709,0
0.770875,-0.891751,1
-0.570848,-0.690432,1
0.669759,-0.862053,1
-0.048805,-0.987707,1
-0.409972,0.368066,0
-0.944892,0.511215,1
0.320782,-0.845424,1
-0.063668,0.121392,0
-0.611005,0.882016,1
-0.138783,-0.835488,1
0.853379,0.482432,1
0.011491,-0.655412,1
-0.578058,0.599436,1
-0.42482,0.924209,1
-0.973643,0.155991,1
-0.231145,-0.10549,0
-0.332103,0.656795,1
-0.65615,-0.059104,0
0.290507,0.00485,0
-0.830072,-0.702545,1
0.003777,-0.254814,0
0.433379,-0.132698,0
0.243099,0.075248,0
0.412729,-0.994424,1
-0.259197,-0.813928,1
0.965267,-0.181568,1
-0.41422,-0.050345,0
-0.168863,-0.518364,0
0.321438,-0.035952,0
0.86477,0.330578,1
-0.5295,0.362104,0
-0.415451,-0.853703,1
-0.268228,0.934636,1
0.023016,-0.72606,1
-0.923809,0.97885,1
0.904136,-0.571619,1
-0.121495,0.429038,0
-0.820675,-0.902225,1
0.857558,0.263409,1
-0.971093,-0.844516,1
-0.192428,0.494291,0
0.430575,-0.082659,0
-0.168895,0.098751,0
0.807664,-0.883492,1
-0.299231,0.879642,1
-0.303561,0.405934,0
-0.278456,-0.196093,0
0.186777,0.657853,1
-0.218333,0.495062,0
-0.748451,-0.360085,1
-0.88561,0.196202,1
-0.962729,-0.530868,1
-0.073809,0.820543,1
-0.567272,-0.120428,0
0.697397,0.997514,1
-0.211064,-0.212957,0
0.924094,-0.874051,1
0.532924,-0.106273,0
-0.654442,-0.638092,1
-0.400531,-0.851983,1
0.289362,-0.802787,1
0.099071,-0.240429,0
-0.33332,0.825772,1
0.447067,-0.833135,1
-0.636781,0.848291,1
0.297943,0.864271,1
0.296586,0.031989,0
-0.939446,-0.682005,1
0.248798,0.820446,1
0.514062,-0.665073,1
0.733022,-0.920274,1
-0.898905,-0.804246,1
-0.383457,0.170433,0
0.843728,-0.376559,1
0.997316,-0.148608,1
0.509553,-0.76955,1
0.919393,-0.250877,1
0.649229,-0.52716,1
0.912857,-0.831665,1
-0.566438,0.336636,0
-0.943172,-0.127844,1
0.289469,0.126833,0
0.648377,-0.529798,1
0.026825,0.784168,1
-0.974173,-0.937134,1
0.885552,0.57084,1
0.604788,-0.981839,1
-0.736911,0.814034,1
0.857227,-0.681199,1
-0.016469,0.866457,1
-0.411473,-0.748427,1
0.463193,0.375131,0
-0.725815,-0.983921,1
0.648333,-0.239378,0
0.222188,-0.349341,0
-0.678782,0.074475,0
-0.821345,0.332615,1
-0.161149,0.870789,1
0.011673,0.708497,1
-0.41707,0.880866,1
0.287989,0.288597,0
0.153031,0.781381,1
0.774998,-0.865696,1
0.239012,0.697485,1
-0.24376,-0.772215,1
0.925936,-0.451229,1
-0.788733,0.419729,1
0.483204,-0.778373,1
0.678734,0.731182,1
0.170638,-0.324177,0
0.363573,0.1715,0
0.096411,0.761703,1
-0.317215,0.412283,0
0.287607,0.347927,0
-0.202338,-0.322749,0
-0.154542,-0.051349,0
0.103623,0.472238,0
-0.92124,-0.58952,1
0.545541,-0.246885,0
0.80966,-0.576652,1
-0.602124,-0.975772,1
0.776117,0.799538,1
-0.320385,0.10341,0
0.137329,-0.442557,0
-0.375709,-0.398154,0
-0.118496,0.853131,1
-0.679058,-0.60649,1
-0.015571,-0.306367,0
0.234459,0.62102,1
-0.606817,0.912377,1
0.093763,-0.884829,1
-0.488181,-0.582883,1
-0.18919,0.062128,0
0.477105,0.204312,0
0.230137,0.074231,0
0.329194,-0.3431,0
-0.592789,-0.301577,0
0.752596,0.449597,1
-0.075693,-0.874695,1
0.22937,0.483787,0
-0.220122,-0.89936,1
0.95169,-0.328368,1
-0.436427,0.683198,1
0.884499,0.58008,1
-0.566116,0.551878,1
0.146202,0.826712,1
0.915615,-0.870859,1
0.812094,-0.884239,1
-0.231556,-0.813441,1
-0.415779,0.280333,0
0.390766,-0.048159,0
-0.109542,-0.793362,1
0.748368,-0.097305,0
0.407264,-0.16174,0
-0.344607,0.411415,0
0.744682,-0.406674,1
-0.614565,0.195067,0
0.088834,-0.525362,0
0.05351,-0.870284,1
0.966258,-0.087365,1
-0.02389,-0.046699,0
0.375674,0.208616,0
0.330372,0.787922,1
0.946981,-0.77512,1
-0.651142,-0.181182,0
0.014241,-0.022199,0
-0.325053,0.464989,0
-0.589897,0.8492,1
-0.090385,-0.266141,0
0.044033,0.973647,1
0.605479,0.220055,0
-0.471248,0.556655,1
-0.880796,-0.360557,1
-0.310243,-0.733592,1
0.671223,0.141896,0
-0.708341,0.714614,1
0.763303,-0.372412,1
0.328573,-0.991726,1
0.977817,-0.03187,1
-0.188017,0.014389,0
-0.976887,-0.713454,1
0.745154,0.946666,1
-0.102138,0.100534,0
0.18876,-0.999869,1
-0.994409,-0.170805,1
-0.812582,0.512277,1
-0.655501,-0.525089,1
0.840435,0.774272,1
-0.969864,-0.56808,1
-0.954371,0.205362,1
0.926472,0.161486,1
0.696676,0.147413,0
-0.003983,0.133861,0
-0.112994,0.130024,0
-0.307465,0.290767,0
-0.707561,0.466366,1
0.745295,-0.051874,0
-0.163623,-0.137818,0
0.021688,-0.462689,0
0.985511,-0.64485,1
-0.194584,0.874171,1
0.58065,-0.650927,1
0.976414,-0.232867,1
-0.634188,0.543614,1
-0.705256,-0.425095,1
0.277573,0.351021,0
0.394245,0.422206,0
-0.583998,-0.575571,1
-0.634738,-0.578752,1
0.802533,-0.283463,1
0.1335,0.667559,1
0.672979,-0.919964,1
0.839911,0.264895,1
-0.386605,0.215866,0
-0.98121,-0.657359,1
0.125764,0.986823,1
0.102288,0.473427,0
0.461573,0.781555,1
0.350706,0.782534,1
0.054424,0.277035,0
0.725478,-0.694467,1
0.510942,0.106171,0
0.934619,0.004143,1
-0.261561,0.946959,1
-0.094145,0.516284,0
-0.28061,0.371873,0
0.28049,0.19484,0
0.68693,0.430933,1
0.171493,-0.719351,1
0.012234,0.389174,0
-0.607843,0.158748,0
0.983766,-0.701005,1
-0.362911,-0.437063,0
0.840027,-0.839868,1
0.685159,-0.677778,1
0.911593,-0.695235,1
-0.405542,0.783719,1
0.534829,0.34255,0
-0.927835,0.400114,1
0.727661,-0.864194,1
-0.620997,0.591737,1
0.293919,0.713097,1
0.800601,-0.743605,1
0.762801,0.536389,1
0.610182,0.906008,1
-0.390607,-0.594809,1
0.106549,0.989615,1
0.687613,0.660586,1
-0.736754,0.752134,1
-0.332996,0.470647,0
-0.867471,-0.356273,1
0.049479,0.816474,1
0.510872,-0.555471,1
-0.836447,-0.631218,1
0.60035,0.299078,0
-0.486108,0.559313,1
0.62652,-0.940182,1
-0.819699,0.527861,1
0.091964,-0.632503,1
0.338614,0.318404,0
0.006276,-0.71845,1
-0.501892,0.123945,0
0.940691,0.770977,1
-0.046908,0.537341,0
0.190461,-0.971057,1
-0.532917,0.734445,1
0.73474,0.438613,1
0.07879,-0.691248,1
0.440759,-0.434862,0
0.932504,0.078902,1
0.100475,-0.137795,0
-0.086706,0.274874,0
-0.467159,-0.615646,1
0.413233,-0.574807,1
0.573395,-0.797971,1
-0.57329,0.586873,1
0.861332,-0.541401,1
0.711726,0.683773,1
-0.633182,0.624634,1
0.141982,-0.308236,0
-0.273757,-0.198021,0
0.934293,-0.421738,1
0.982974,0.716922,1
0.318048,0.282094,0
0.789596,-0.439519,1
0.770059,0.466889,1
0.090488,-0.062663,0
-0.192701,-0.958998,1
0.578997,0.100981,0
0.81134,0.381117,1
0.455003,-0.893886,1
-0.240228,0.250434,0
-0.500587,0.358773,0
-0.199561,0.831312,1
-0.933278,0.23521,1
0.656734,-0.190889,0
0.902991,-0.641503,1
-0.343146,-0.302865,0
0.107782,0.900251,1
-0.185348,-0.810548,1
-0.294223,0.941201,1
-0.201132,-0.9637,1
-0.113532,-0.467915,0
-0.351563,0.628594,1
-0.309727,0.597223,1
-0.228207,0.67192,1
-0.361652,0.150585,0
0.018244,-0.144093,0
0.411885,-0.020278,0
0.94951,0.167599,1
-0.639393,0.65653,1
0.410801,0.680752,1
-0.140847,0.187315,0
0.814438,0.288778,1
-0.526414,-0.383588,0
-0.33437,0.770797,1
-0.136889,-0.998847,1
-0.270857,0.840028,1
0.617534,0.091984,0
0.417247,0.896013,1
0.473463,-0.913052,1
0.015567,0.915575,1
-0.166725,-0.014364,0
-0.337883,-0.307647,0
-0.60125,-0.948032,1
0.002572,-0.499792,0
-0.410093,-0.783145,1
0.206874,0.393294,0
0.28239,0.898378,1
0.387449,0.595236,1
0.715199,0.022052,0
0.487337,0.145494,0
0.882573,0.87411,1
-0.745958,0.053035,0
0.942433,-0.52091,1
0.394413,0.961756,1
-0.537964,0.151448,0
-0.505109,-0.540665,1
-0.644352,-0.743832,1
0.910518,-0.829106,1
-0.605591,0.879343,1
0.757794,0.60119,1
0.506475,0.588256,1
0.390597,0.323764,0
-0.264085,-0.24854,0
0.691703,-0.007096,0
-0.791996,0.472954,1
-0.406425,-0.729847,1
0.609384,-0.204735,0
0.929321,-0.94731,1
-0.921021,-0.442082,1
-0.826431,0.539689,1
0.432544,-0.436126,0
0.682158,-0.914471,1
0.136697,0.0679,0
0.550372,-0.12745,0
-0.16044,-0.941229,1
-0.119977,0.942389,1
-0.963612,-0.954993,1
0.638097,-0.638124,1
0.040256,-0.206502,0
0.9683,0.382492,1
0.817659,-0.910803,1
0.645283,0.79927,1
-0.663197,0.812567,1
0.355411,0.099777,0
0.476752,-0.327498,0
-0.205351,-0.808922,1
0.258456,0.785931,1
0.193222,0.502346,0
0.184118,-0.03865,0
0.808384,-0.916939,1
0.809219,-0.977958,1
0.170751,-0.048505,0
0.321924,-0.204257,0
0.867478,0.50105,1
